,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Type,ID,URI,Track Href,Analysis URL,Duration (ms),Time Signature
0,Ne reviens pas,0.932,0.778,10,-3.384,0,0.0638,0.212,0.0,0.168,0.933,124.996,audio_features,4TnFANpjVwVKWzkxNzIyFH,spotify:track:4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/tracks/4TnFANpjVwVKWzkxNzIyFH,https://api.spotify.com/v1/audio-analysis/4TnFANpjVwVKWzkxNzIyFH,188613,4
1,Moulaga,0.71,0.699,7,-4.664,0,0.1,0.327,4.64e-06,0.0975,0.484,125.051,audio_features,5BfCoUcWNXcpyJfjXRIeyC,spotify:track:5BfCoUcWNXcpyJfjXRIeyC,https://api.spotify.com/v1/tracks/5BfCoUcWNXcpyJfjXRIeyC,https://api.spotify.com/v1/audio-analysis/5BfCoUcWNXcpyJfjXRIeyC,179868,4
2,Distant,0.747,0.731,4,-6.305,0,0.194,0.555,0.0,0.0662,0.493,105.074,audio_features,2iuNKcIOuHb9VIplN7NDoa,spotify:track:2iuNKcIOuHb9VIplN7NDoa,https://api.spotify.com/v1/tracks/2iuNKcIOuHb9VIplN7NDoa,https://api.spotify.com/v1/audio-analysis/2iuNKcIOuHb9VIplN7NDoa,162013,4
3,Dance Monkey,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,audio_features,2XU0oxnq2qxCpomAAuJY8K,spotify:track:2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K,https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K,209438,4
4,Blinding Lights,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4
5,MD (feat. Niska),0.41,0.729,4,-5.253,0,0.4,0.499,0.0,0.124,0.593,75.301,audio_features,2TifYdW9lTbEqBipirS679,spotify:track:2TifYdW9lTbEqBipirS679,https://api.spotify.com/v1/tracks/2TifYdW9lTbEqBipirS679,https://api.spotify.com/v1/audio-analysis/2TifYdW9lTbEqBipirS679,210827,4
6,40%,0.841,0.693,11,-7.335,1,0.207,0.396,4.03e-06,0.133,0.677,92.021,audio_features,47LFcy7prvEY5D08d26zOo,spotify:track:47LFcy7prvEY5D08d26zOo,https://api.spotify.com/v1/tracks/47LFcy7prvEY5D08d26zOo,https://api.spotify.com/v1/audio-analysis/47LFcy7prvEY5D08d26zOo,174933,4
7,Popopop,0.833,0.652,0,-6.194,0,0.31,0.0477,0.000138,0.145,0.414,130.002,audio_features,18HNGxDOcshRU2Hdu8tMOM,spotify:track:18HNGxDOcshRU2Hdu8tMOM,https://api.spotify.com/v1/tracks/18HNGxDOcshRU2Hdu8tMOM,https://api.spotify.com/v1/audio-analysis/18HNGxDOcshRU2Hdu8tMOM,155632,4
8,ROXANNE,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636,5
9,Loin de moi,0.892,0.459,11,-8.316,0,0.239,0.635,4.4e-05,0.062,0.501,96.975,audio_features,30kxl4FnaEFS2qZkec3Zak,spotify:track:30kxl4FnaEFS2qZkec3Zak,https://api.spotify.com/v1/tracks/30kxl4FnaEFS2qZkec3Zak,https://api.spotify.com/v1/audio-analysis/30kxl4FnaEFS2qZkec3Zak,143744,4
