,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instramentalness,Liveness,Valence,Tempo,Type,ID,URI,Track Href,Analysis URL,Duration (ms),Time Signature
0,"Illegal Weapon 2.0 (From ""Street Dancer 3D"")",0.805,0.919,1,-1.294,1,0.0938,0.101,0.00343,0.0598,0.494,94.993,audio_features,5fXslGZPI5Cco6PKHzlSL3,spotify:track:5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/tracks/5fXslGZPI5Cco6PKHzlSL3,https://api.spotify.com/v1/audio-analysis/5fXslGZPI5Cco6PKHzlSL3,188606,4
1,"Muqabla (From ""Street Dancer 3D"")",0.804,0.913,0,-3.135,1,0.0933,0.0248,2.84e-05,0.391,0.544,119.993,audio_features,28veUNu4veN0LOBVa0nFw8,spotify:track:28veUNu4veN0LOBVa0nFw8,https://api.spotify.com/v1/tracks/28veUNu4veN0LOBVa0nFw8,https://api.spotify.com/v1/audio-analysis/28veUNu4veN0LOBVa0nFw8,176125,4
2,"Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)",0.788,0.87,9,-5.217,1,0.177,0.123,1.43e-05,0.0692,0.884,109.974,audio_features,6q9XTgfWilsnyiFofvYrIF,spotify:track:6q9XTgfWilsnyiFofvYrIF,https://api.spotify.com/v1/tracks/6q9XTgfWilsnyiFofvYrIF,https://api.spotify.com/v1/audio-analysis/6q9XTgfWilsnyiFofvYrIF,182739,4
3,Yummy,0.662,0.519,9,-6.554,0,0.106,0.404,0.0,0.121,0.495,145.841,audio_features,41L3O37CECZt3N7ziG2z7l,spotify:track:41L3O37CECZt3N7ziG2z7l,https://api.spotify.com/v1/tracks/41L3O37CECZt3N7ziG2z7l,https://api.spotify.com/v1/audio-analysis/41L3O37CECZt3N7ziG2z7l,210427,4
4,Makhna,0.696,0.704,1,-7.876,1,0.0423,0.167,0.0,0.155,0.426,124.972,audio_features,0ZHILXmUaVSLEOCWxPQ1ga,spotify:track:0ZHILXmUaVSLEOCWxPQ1ga,https://api.spotify.com/v1/tracks/0ZHILXmUaVSLEOCWxPQ1ga,https://api.spotify.com/v1/audio-analysis/0ZHILXmUaVSLEOCWxPQ1ga,183000,4
5,Falling,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,audio_features,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4
6,"Ghungroo (From ""War"")",0.695,0.727,6,-6.274,0,0.0323,0.0744,0.000175,0.533,0.864,118.034,audio_features,0WdbnNKO0Jt4BZACSDQh44,spotify:track:0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/tracks/0WdbnNKO0Jt4BZACSDQh44,https://api.spotify.com/v1/audio-analysis/0WdbnNKO0Jt4BZACSDQh44,302935,4
7,Yaad Piya Ki Aane Lagi,0.858,0.833,5,-3.747,0,0.0471,0.375,0.0,0.112,0.693,107.977,audio_features,0TkquWzzuxcrwbCWlTrKYF,spotify:track:0TkquWzzuxcrwbCWlTrKYF,https://api.spotify.com/v1/tracks/0TkquWzzuxcrwbCWlTrKYF,https://api.spotify.com/v1/audio-analysis/0TkquWzzuxcrwbCWlTrKYF,256678,4
8,Memories,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,audio_features,2b8fOow8UzyDFAE27YhOZM,spotify:track:2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,189486,4
9,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",0.427,0.396,11,-7.556,1,0.0366,0.736,0.0,0.11,0.306,70.368,audio_features,2Fv2injs4qAm8mJBGaxVKU,spotify:track:2Fv2injs4qAm8mJBGaxVKU,https://api.spotify.com/v1/tracks/2Fv2injs4qAm8mJBGaxVKU,https://api.spotify.com/v1/audio-analysis/2Fv2injs4qAm8mJBGaxVKU,284780,4
