Country,Mean Value Valence,Median Value Valence,Max Value Valence,Min Value Valence
Australia,0.508396,0.5145,0.925,0.0978
Brazil,0.6496200000000001,0.6735,0.964,0.152
France,0.5292800000000001,0.4965,0.933,0.202
HongKong,0.44689599999999996,0.446,0.925,0.0978
India,0.5225760000000002,0.4965,0.925,0.0978
Japan,0.5250980000000001,0.5105,0.962,0.0712
Malaysia,0.494236,0.503,0.925,0.0978
South Africa,0.45814600000000005,0.452,0.925,0.0605
Taiwan,0.401196,0.3725,0.794,0.0978
UK,0.47606599999999977,0.5165,0.884,0.0605
US,0.451666,0.476,0.925,0.0605
